category_id,category_name
1,Residential Plumbing
2,Commercial Plumbing
3,Residential Painting
4,Commercial Painting
5,Residential Gardening
6,Commercial Gardening
7,Residential Assembly
8,Commercial Assembly
9,Tech Support
10,Residential Cleaning
11,Commercial Cleaning
12,Moving
13,Residential Electrical
14,Commercial Electrical
15,Residential Tutoring
16,Commercial Tutoring
17,Residential Delivery
18,Commercial Delivery
19,Carpentry
20,Roofing
21,Flooring
22,Locksmith
23,Pest Control
24,Landscaping
25,HVAC
26,Auto Repair
27,Photography
28,Translation
29,Writing
30,Graphic Design
31,Web Development
32,App Development
33,Data Entry
34,Accounting
35,Legal Advice
36,Marketing
37,Event Planning
38,Catering
39,Pet Care
40,Childcare
41,Elderly Care
42,Fitness Training
43,Music Lessons
44,Language Lessons
45,Math Tutoring
46,Science Tutoring
47,Test Prep
48,Resume Writing
49,Career Coaching
50,Business Consulting
51,Interior Design
52,Home Staging
53,Sewing
54,Tailoring
55,Laundry
56,Grocery Shopping
57,Personal Assistant
58,Security
59,Special Service 59
60,Special Service 60
61,Special Service 61
62,Special Service 62
63,Special Service 63
64,Special Service 64
65,Special Service 65
66,Special Service 66
67,Special Service 67
68,Special Service 68
69,Special Service 69
70,Special Service 70
71,Special Service 71
72,Special Service 72
73,Special Service 73
74,Special Service 74
75,Special Service 75
76,Special Service 76
77,Special Service 77
78,Special Service 78
79,Special Service 79
80,Special Service 80
81,Special Service 81
82,Special Service 82
83,Special Service 83
84,Special Service 84
85,Special Service 85
86,Special Service 86
87,Special Service 87
88,Special Service 88
89,Special Service 89
90,Special Service 90
91,Special Service 91
92,Special Service 92
93,Special Service 93
94,Special Service 94
95,Special Service 95
96,Special Service 96
97,Special Service 97
98,Special Service 98
99,Special Service 99
100,Special Service 100
