category_id,category_name
1,Plumbing
2,Electrical Wiring Specialist
3,House Painting Specialist
4,Gardening & Landscaping Specialist
5,Furniture Assembly
6,Home Cleaning Specialist
7,Moving Services Specialist
8,Tutoring (Math)
9,Tutoring (Languages)
10,Graphic Design Specialist
11,Web Development (Frontend)
12,Content Writing
13,Translation (Eng-Fr)
14,Event Photography
15,Appliance Repair
16,HVAC Maintenance Specialist
17,Carpentry
18,Welding Specialist
19,Auto Mechanic Services Specialist
20,Personal Fitness Training
21,Childcare & Babysitting
22,Elderly Care Assistance
23,Pet Sitting & Dog Walking Specialist
24,Event Planning Support Specialist
25,Catering Assistance (Small Events)
26,Social Media Management
27,Data Entry Specialist
28,Virtual Assistant Services
29,IT Support (Home/Small Office)
30,Mobile Phone Repair
31,Tailoring & Alterations
32,Interior Design Consultation Specialist
33,Handyman Services (General)
34,Roofing Repair (Minor)
35,Pressure Washing
36,Window Cleaning
37,Flooring Installation (Laminate/Vinyl)
38,Drone Piloting (Photography/Survey)
39,Bookkeeping (Small Business)
40,Resume Writing & CV Editing
41,Music Lessons (Guitar)
42,Music Lessons (Piano)
43,Proofreading & Editing
44,Market Research Surveys
45,Voice Over Artist
46,Video Editing (Basic)
47,Software Installation & Setup
48,Network Troubleshooting Specialist
49,Tutoring (Physics)
50,Tutoring (Chemistry) Specialist
51,Craft Making (Custom Orders)
52,Baking (Custom Cakes) Specialist
53,Personal Shopping
54,Courier & Delivery (Local)
55,Furniture Repair & Restoration
56,Locksmith Services
57,Computer Hardware Repair Specialist
58,Script Writing Specialist
59,Research Assistant Specialist
60,Digital Marketing (Basic) Specialist
