job_id,title,description,category,location,posting_date,budget
job_1,Plant new garden,Looking for someone to help with plant new garden in my home/office.,Gardening,Setif,2025-03-21 05:21:31.994398,8560
job_2,Lawn mowing and trimming,Looking for someone to help with lawn mowing and trimming in my home/office.,Gardening,Djelfa,2025-05-12 05:21:31.994398,9040
job_3,Tree pruning,Looking for someone to help with tree pruning in my home/office.,Gardening,Oran,2025-04-17 05:21:31.994398,7375
job_4,Paint bedroom walls,Looking for someone to help with paint bedroom walls in my home/office.,Painting,Oran,2025-03-11 05:21:31.994398,7732
job_5,Fix leaking sink,Looking for someone to help with fix leaking sink in my home/office.,Plumbing,Constantine,2025-02-21 05:21:31.994398,2741
job_6,Package pickup,Looking for someone to help with package pickup in my home/office.,Delivery,Oran,2025-02-19 05:21:31.994398,9895
job_7,Tree pruning,Looking for someone to help with tree pruning in my home/office.,Gardening,Djelfa,2025-03-11 05:21:31.994398,9489
job_8,Help moving heavy furniture,Looking for someone to help with help moving heavy furniture in my home/office.,Moving,Setif,2025-03-05 05:21:31.994398,7754
job_9,Light fixture installation,Looking for someone to help with light fixture installation in my home/office.,Electrical,Annaba,2025-04-21 05:21:31.994398,2987
job_10,Home network setup,Looking for someone to help with home network setup in my home/office.,Tech Support,Annaba,2025-04-12 05:21:31.994398,2975
job_11,Electrical troubleshooting,Looking for someone to help with electrical troubleshooting in my home/office.,Electrical,Oran,2025-03-22 05:21:31.994398,2644
job_12,Assemble furniture,Looking for someone to help with assemble furniture in my home/office.,Assembly,Constantine,2025-04-07 05:21:31.994398,6899
job_13,Assemble desk,Looking for someone to help with assemble desk in my home/office.,Assembly,Batna,2025-05-05 05:21:31.994398,1040
job_14,Outlet repair,Looking for someone to help with outlet repair in my home/office.,Electrical,Djelfa,2025-05-06 05:21:31.994398,4583
job_15,Moving boxes to storage,Looking for someone to help with moving boxes to storage in my home/office.,Moving,Setif,2025-04-30 05:21:31.994398,6765
job_16,Math tutoring,Looking for someone to help with math tutoring in my home/office.,Tutoring,Annaba,2025-04-08 05:21:31.994398,9986
job_17,Paint exterior of house,Looking for someone to help with paint exterior of house in my home/office.,Painting,Constantine,2025-04-30 05:21:31.994398,6960
job_18,Moving boxes to storage,Looking for someone to help with moving boxes to storage in my home/office.,Moving,Setif,2025-05-13 05:21:31.994398,8654
job_19,Computer repair,Looking for someone to help with computer repair in my home/office.,Tech Support,Constantine,2025-05-10 05:21:31.994398,6512
job_20,Assemble furniture,Looking for someone to help with assemble furniture in my home/office.,Assembly,Constantine,2025-02-19 05:21:31.994398,6292
job_21,Paint living room,Looking for someone to help with paint living room in my home/office.,Painting,Constantine,2025-05-19 05:21:31.994398,4698
job_22,Electrical troubleshooting,Looking for someone to help with electrical troubleshooting in my home/office.,Electrical,Blida,2025-02-25 05:21:31.994398,9461
job_23,Clean windows,Looking for someone to help with clean windows in my home/office.,Cleaning,Annaba,2025-03-16 05:21:31.994398,9585
