job_id,title,description_mission_anglais,categorie_mission,location
job_0,Smartphone repair in Ghardaïa,Smartphone repair expert needed in Ghardaïa. Project involves public venue. Good communication skills and punctuality essential.,Maintenance & Repairs,Ghardaïa
job_1,Car mechanics in Adrar,Need assistance with Car mechanics in Adrar. Ideal for part-time workers with knowledge in maintenance & repairs.,Maintenance & Repairs,Adrar
job_2,Bicycle repair in Tlemcen,Need assistance with Bicycle repair in Tlemcen. Ideal for retirees with knowledge in maintenance & repairs.,Maintenance & Repairs,Tlemcen
job_3,Airport pickup in Souk Ahras,Seeking skilled individual for Airport pickup services in Souk Ahras. Must have own tools and transportation. Weekday availability required.,Transportation,Souk Ahras
job_4,Furniture transport in Mila,Seeking skilled individual for Furniture transport services in Mila. Must have own tools and transportation. Weekday availability required.,Transportation,Mila
job_5,Manicure & pedicure in El Tarf,Need assistance with Manicure & pedicure in El Tarf. Ideal for professionals with knowledge in beauty & wellness.,Beauty & Wellness,El Tarf
job_6,Home chef services in Annaba,Home chef services expert needed in Annaba. Project involves residential work. Good communication skills and punctuality essential.,Food & Cuisine,Annaba
job_7,Private math tutoring in El Oued,Seeking skilled individual for Private math tutoring services in El Oued. Must have own tools and transportation. Flexible hours required.,Teaching & Education,El Oued
job_8,Furniture transport in Aïn Témouchent,Need assistance with Furniture transport in Aïn Témouchent. Ideal for professionals with knowledge in transportation.,Transportation,Aïn Témouchent
job_9,Traditional carpet making in M'Sila,Traditional carpet making expert needed in M'Sila. Project involves commercial space. Good communication skills and punctuality essential.,Handcrafts,M'Sila
job_10,Massage therapy in Sidi Bel Abbès,Looking for talented beauty & wellness specialist for Massage therapy work in Sidi Bel Abbès. Project starts immediately.,Beauty & Wellness,Sidi Bel Abbès
job_11,Graphic design in Tamanrasset,Seeking skilled individual for Graphic design services in Tamanrasset. Must have own tools and transportation. Flexible hours required.,Digital Services,Tamanrasset
job_12,Wedding planning in In Guezzam,Seeking skilled individual for Wedding planning services in In Guezzam. Must have own tools and transportation. Weekday availability required.,Events & Celebrations,In Guezzam
job_13,Fruit picking in Ouled Djellal,Looking for an experienced professional for Fruit picking in Ouled Djellal. The work involves ongoing support with competitive compensation.,Agriculture & Gardening,Ouled Djellal
job_14,Graphic design in Ouled Djellal,Digital Services professional wanted for Graphic design in Ouled Djellal. Medium-term project with possibility for extension.,Digital Services,Ouled Djellal
job_15,Electrical installations in Tipaza,Need assistance with Electrical installations in Tipaza. Ideal for retirees with knowledge in home services.,Home Services,Tipaza
job_16,Catering services in Biskra,Looking for an experienced professional for Catering services in Biskra. The work involves regular maintenance with competitive compensation.,Events & Celebrations,Biskra
job_17,DJ services in Biskra,Need assistance with DJ services in Biskra. Ideal for students with knowledge in events & celebrations.,Events & Celebrations,Biskra
job_18,Private math tutoring in Sétif,Hiring for Private math tutoring in the Sétif area. Experience required. Fair payment and potential for regular work.,Teaching & Education,Sétif
job_19,Furniture assembly in El Oued,Seeking skilled individual for Furniture assembly services in El Oued. Must have own tools and transportation. Flexible hours required.,Home Services,El Oued
job_20,French language lessons in Chlef,Teaching & Education professional wanted for French language lessons in Chlef. Long-term project with possibility for extension.,Teaching & Education,Chlef
job_21,Traditional carpet making in Alger,Looking for an experienced professional for Traditional carpet making in Alger. The work involves regular maintenance with competitive compensation.,Handcrafts,Alger
job_22,Makeup services in Biskra,Hiring for Makeup services in the Biskra area. Training provided. Fair payment and potential for regular work.,Beauty & Wellness,Biskra
job_23,Delivery services in El Oued,Hiring for Delivery services in the El Oued area. Portfolio requested. Fair payment and potential for regular work.,Transportation,El Oued
job_24,Science tutoring in Touggourt,Need assistance with Science tutoring in Touggourt. Ideal for retirees with knowledge in teaching & education.,Teaching & Education,Touggourt
job_25,Electrical installations in Tébessa,Hiring for Electrical installations in the Tébessa area. References needed. Fair payment and potential for regular work.,Home Services,Tébessa
job_26,Science tutoring in Tizi Ouzou,Teaching & Education professional wanted for Science tutoring in Tizi Ouzou. Medium-term project with possibility for extension.,Teaching & Education,Tizi Ouzou
job_27,Fruit picking in Médéa,Looking for an experienced professional for Fruit picking in Médéa. The work involves one-time service with competitive compensation.,Agriculture & Gardening,Médéa
job_28,Arabic language teaching in Tlemcen,Teaching & Education professional wanted for Arabic language teaching in Tlemcen. Long-term project with possibility for extension.,Teaching & Education,Tlemcen
job_29,Traditional bread baking in Timimoun,Need assistance with Traditional bread baking in Timimoun. Ideal for professionals with knowledge in food & cuisine.,Food & Cuisine,Timimoun
job_30,Video editing in Bouira,Seeking skilled individual for Video editing services in Bouira. Must have own tools and transportation. Weekday availability required.,Digital Services,Bouira
job_31,Wood crafting in Oran,Hiring for Wood crafting in the Oran area. Experience required. Fair payment and potential for regular work.,Handcrafts,Oran
job_32,University exam preparation in El Bayadh,Hiring for University exam preparation in the El Bayadh area. Portfolio requested. Fair payment and potential for regular work.,Teaching & Education,El Bayadh
job_33,Makeup services in Blida,Hiring for Makeup services in the Blida area. References needed. Fair payment and potential for regular work.,Beauty & Wellness,Blida
job_34,Manicure & pedicure in Skikda,Looking for an experienced professional for Manicure & pedicure in Skikda. The work involves immediate assistance with competitive compensation.,Beauty & Wellness,Skikda
job_35,Home chef services in Tindouf,Hiring for Home chef services in the Tindouf area. References needed. Fair payment and potential for regular work.,Food & Cuisine,Tindouf
job_36,Fruit picking in Béjaïa,Agriculture & Gardening professional wanted for Fruit picking in Béjaïa. Medium-term project with possibility for extension.,Agriculture & Gardening,Béjaïa
job_37,Home hairdressing in Mascara,Looking for an experienced professional for Home hairdressing in Mascara. The work involves one-time service with competitive compensation.,Beauty & Wellness,Mascara
job_38,Traditional bread baking in Tiaret,Seeking skilled individual for Traditional bread baking services in Tiaret. Must have own tools and transportation. Flexible hours required.,Food & Cuisine,Tiaret
job_39,Traditional dress sewing in Biskra,Traditional dress sewing expert needed in Biskra. Project involves commercial space. Good communication skills and punctuality essential.,Handcrafts,Biskra
job_40,Cooking lessons in Tipaza,Need assistance with Cooking lessons in Tipaza. Ideal for part-time workers with knowledge in food & cuisine.,Food & Cuisine,Tipaza
job_41,Intercity transport in M'Sila,Looking for an experienced professional for Intercity transport in M'Sila. The work involves one-time service with competitive compensation.,Transportation,M'Sila
job_42,Traditional pastry making in Khenchela,Traditional pastry making expert needed in Khenchela. Project involves private property. Good communication skills and punctuality essential.,Food & Cuisine,Khenchela
job_43,Computer skills training in Djanet,Need assistance with Computer skills training in Djanet. Ideal for professionals with knowledge in teaching & education.,Teaching & Education,Djanet
job_44,Traditional bread baking in Tlemcen,Need assistance with Traditional bread baking in Tlemcen. Ideal for students with knowledge in food & cuisine.,Food & Cuisine,Tlemcen
job_45,Furniture transport in Bordj Badji Mokhtar,Hiring for Furniture transport in the Bordj Badji Mokhtar area. Portfolio requested. Fair payment and potential for regular work.,Transportation,Bordj Badji Mokhtar
job_46,Makeup services in Timimoun,Hiring for Makeup services in the Timimoun area. Portfolio requested. Fair payment and potential for regular work.,Beauty & Wellness,Timimoun
job_47,Plumbing repairs in Médéa,Seeking skilled individual for Plumbing repairs services in Médéa. Must have own tools and transportation. Weekend work required.,Home Services,Médéa
job_48,Henna art in Oran,Beauty & Wellness professional wanted for Henna art in Oran. Recurring project with possibility for extension.,Beauty & Wellness,Oran
job_49,Leather crafting in Mascara,Hiring for Leather crafting in the Mascara area. Portfolio requested. Fair payment and potential for regular work.,Handcrafts,Mascara
job_50,Intercity transport in Tipaza,Transportation professional wanted for Intercity transport in Tipaza. Medium-term project with possibility for extension.,Transportation,Tipaza
job_51,Plumbing repairs in Naâma,Looking for talented home services specialist for Plumbing repairs work in Naâma. Project starts upon agreement.,Home Services,Naâma
job_52,Furniture transport in Blida,Transportation professional wanted for Furniture transport in Blida. Long-term project with possibility for extension.,Transportation,Blida
job_53,Plumbing repairs in Sidi Bel Abbès,Home Services professional wanted for Plumbing repairs in Sidi Bel Abbès. Short-term project with possibility for extension.,Home Services,Sidi Bel Abbès
job_54,Pottery services in Souk Ahras,Hiring for Pottery services in the Souk Ahras area. Training provided. Fair payment and potential for regular work.,Handcrafts,Souk Ahras
job_55,Henna art in Ouled Djellal,Seeking skilled individual for Henna art services in Ouled Djellal. Must have own tools and transportation. Weekend work required.,Beauty & Wellness,Ouled Djellal
job_56,Catering services in Béni Abbès,Hiring for Catering services in the Béni Abbès area. Training provided. Fair payment and potential for regular work.,Events & Celebrations,Béni Abbès
job_57,Delivery services in Bouira,Transportation professional wanted for Delivery services in Bouira. Long-term project with possibility for extension.,Transportation,Bouira
job_58,Furniture transport in Mila,Hiring for Furniture transport in the Mila area. References needed. Fair payment and potential for regular work.,Transportation,Mila
job_59,Housekeeping in Béchar,Looking for an experienced professional for Housekeeping in Béchar. The work involves one-time service with competitive compensation.,Home Services,Béchar
job_60,Henna art in Saïda,Henna art expert needed in Saïda. Project involves public venue. Good communication skills and punctuality essential.,Beauty & Wellness,Saïda
job_61,Cooking lessons in M'Sila,Looking for an experienced professional for Cooking lessons in M'Sila. The work involves regular maintenance with competitive compensation.,Food & Cuisine,M'Sila
job_62,Henna art in Constantine,Need assistance with Henna art in Constantine. Ideal for part-time workers with knowledge in beauty & wellness.,Beauty & Wellness,Constantine
job_63,Fruit picking in M'Sila,Seeking skilled individual for Fruit picking services in M'Sila. Must have own tools and transportation. Weekend work required.,Agriculture & Gardening,M'Sila
job_64,French language lessons in Mila,French language lessons expert needed in Mila. Project involves commercial space. Good communication skills and punctuality essential.,Teaching & Education,Mila
job_65,Science tutoring in Naâma,Teaching & Education professional wanted for Science tutoring in Naâma. Long-term project with possibility for extension.,Teaching & Education,Naâma
job_66,Catering for special events in Adrar,Catering for special events expert needed in Adrar. Project involves commercial space. Good communication skills and punctuality essential.,Food & Cuisine,Adrar
job_67,Plant care in El M'Ghair,Hiring for Plant care in the El M'Ghair area. Training provided. Fair payment and potential for regular work.,Agriculture & Gardening,El M'Ghair
job_68,Traditional carpet making in Tébessa,Looking for an experienced professional for Traditional carpet making in Tébessa. The work involves regular maintenance with competitive compensation.,Handcrafts,Tébessa
job_69,Moving assistance in Tipaza,Seeking skilled individual for Moving assistance services in Tipaza. Must have own tools and transportation. Urgent need required.,Transportation,Tipaza
job_70,Event photography in Ouled Djellal,Need assistance with Event photography in Ouled Djellal. Ideal for students with knowledge in events & celebrations.,Events & Celebrations,Ouled Djellal
job_71,Electrical installations in Khenchela,Home Services professional wanted for Electrical installations in Khenchela. Long-term project with possibility for extension.,Home Services,Khenchela
job_72,Cooking lessons in Biskra,Need assistance with Cooking lessons in Biskra. Ideal for part-time workers with knowledge in food & cuisine.,Food & Cuisine,Biskra
job_73,Fruit picking in Oum El Bouaghi,Fruit picking expert needed in Oum El Bouaghi. Project involves residential work. Good communication skills and punctuality essential.,Agriculture & Gardening,Oum El Bouaghi
job_74,Agricultural consulting in Jijel,Agricultural consulting expert needed in Jijel. Project involves commercial space. Good communication skills and punctuality essential.,Agriculture & Gardening,Jijel
job_75,DJ services in El Tarf,DJ services expert needed in El Tarf. Project involves private property. Good communication skills and punctuality essential.,Events & Celebrations,El Tarf
job_76,Henna art in Aïn Defla,Need assistance with Henna art in Aïn Defla. Ideal for students with knowledge in beauty & wellness.,Beauty & Wellness,Aïn Defla
job_77,Home chef services in Bouira,Hiring for Home chef services in the Bouira area. Experience required. Fair payment and potential for regular work.,Food & Cuisine,Bouira
job_78,Home renovation in Tamanrasset,Hiring for Home renovation in the Tamanrasset area. Portfolio requested. Fair payment and potential for regular work.,Home Services,Tamanrasset
job_79,Homemade couscous in Touggourt,Looking for an experienced professional for Homemade couscous in Touggourt. The work involves regular maintenance with competitive compensation.,Food & Cuisine,Touggourt
job_80,Social media management in Tipaza,Looking for an experienced professional for Social media management in Tipaza. The work involves ongoing support with competitive compensation.,Digital Services,Tipaza
job_81,Homemade couscous in Djanet,Looking for an experienced professional for Homemade couscous in Djanet. The work involves regular maintenance with competitive compensation.,Food & Cuisine,Djanet
job_82,Home appliance repair in Djelfa,Home appliance repair expert needed in Djelfa. Project involves commercial space. Good communication skills and punctuality essential.,Maintenance & Repairs,Djelfa
job_83,City tours in Ouled Djellal,Looking for an experienced professional for City tours in Ouled Djellal. The work involves ongoing support with competitive compensation.,Transportation,Ouled Djellal
job_84,Science tutoring in Béni Abbès,Looking for an experienced professional for Science tutoring in Béni Abbès. The work involves one-time service with competitive compensation.,Teaching & Education,Béni Abbès
job_85,Cooking lessons in Khenchela,Seeking skilled individual for Cooking lessons services in Khenchela. Must have own tools and transportation. Flexible hours required.,Food & Cuisine,Khenchela
job_86,Massage therapy in Mostaganem,Looking for talented beauty & wellness specialist for Massage therapy work in Mostaganem. Project starts this month.,Beauty & Wellness,Mostaganem
job_87,Science tutoring in Sétif,Need assistance with Science tutoring in Sétif. Ideal for students with knowledge in teaching & education.,Teaching & Education,Sétif
job_88,Massage therapy in Tissemsilt,Looking for an experienced professional for Massage therapy in Tissemsilt. The work involves one-time service with competitive compensation.,Beauty & Wellness,Tissemsilt
job_89,Homemade couscous in Sétif,Looking for an experienced professional for Homemade couscous in Sétif. The work involves one-time service with competitive compensation.,Food & Cuisine,Sétif
job_90,Massage therapy in Biskra,Seeking skilled individual for Massage therapy services in Biskra. Must have own tools and transportation. Flexible hours required.,Beauty & Wellness,Biskra
job_91,Wedding planning in Oran,Looking for talented events & celebrations specialist for Wedding planning work in Oran. Project starts this month.,Events & Celebrations,Oran
job_92,Irrigation system installation in Sétif,Hiring for Irrigation system installation in the Sétif area. Training provided. Fair payment and potential for regular work.,Agriculture & Gardening,Sétif
job_93,Traditional bread baking in Béjaïa,Hiring for Traditional bread baking in the Béjaïa area. Experience required. Fair payment and potential for regular work.,Food & Cuisine,Béjaïa
job_94,Irrigation system installation in Ouargla,Irrigation system installation expert needed in Ouargla. Project involves commercial space. Good communication skills and punctuality essential.,Agriculture & Gardening,Ouargla
job_95,City tours in Tissemsilt,Hiring for City tours in the Tissemsilt area. Training provided. Fair payment and potential for regular work.,Transportation,Tissemsilt
job_96,Traditional bread baking in In Guezzam,Looking for talented food & cuisine specialist for Traditional bread baking work in In Guezzam. Project starts upon agreement.,Food & Cuisine,In Guezzam
job_97,E-commerce setup in Mascara,E-commerce setup expert needed in Mascara. Project involves residential work. Good communication skills and punctuality essential.,Digital Services,Mascara
job_98,Traditional dress sewing in Blida,Traditional dress sewing expert needed in Blida. Project involves residential work. Good communication skills and punctuality essential.,Handcrafts,Blida
job_99,Traditional pastry making in Saïda,Traditional pastry making expert needed in Saïda. Project involves residential work. Good communication skills and punctuality essential.,Food & Cuisine,Saïda
job_100,Leather crafting in Tindouf,Need assistance with Leather crafting in Tindouf. Ideal for students with knowledge in handcrafts.,Handcrafts,Tindouf
job_101,Leather crafting in Bouira,Handcrafts professional wanted for Leather crafting in Bouira. Long-term project with possibility for extension.,Handcrafts,Bouira
job_102,Catering services in Blida,Looking for an experienced professional for Catering services in Blida. The work involves one-time service with competitive compensation.,Events & Celebrations,Blida
job_103,Intercity transport in Ghardaïa,Hiring for Intercity transport in the Ghardaïa area. References needed. Fair payment and potential for regular work.,Transportation,Ghardaïa
job_104,Furniture assembly in Chlef,Looking for talented home services specialist for Furniture assembly work in Chlef. Project starts next week.,Home Services,Chlef
job_105,Car mechanics in El Oued,Need assistance with Car mechanics in El Oued. Ideal for students with knowledge in maintenance & repairs.,Maintenance & Repairs,El Oued
job_106,Henna art in Khenchela,Hiring for Henna art in the Khenchela area. Training provided. Fair payment and potential for regular work.,Beauty & Wellness,Khenchela
job_107,Private math tutoring in Tissemsilt,Seeking skilled individual for Private math tutoring services in Tissemsilt. Must have own tools and transportation. Weekday availability required.,Teaching & Education,Tissemsilt
job_108,French language lessons in Djanet,Looking for talented teaching & education specialist for French language lessons work in Djanet. Project starts next week.,Teaching & Education,Djanet
job_109,Irrigation system installation in Tizi Ouzou,Hiring for Irrigation system installation in the Tizi Ouzou area. Experience required. Fair payment and potential for regular work.,Agriculture & Gardening,Tizi Ouzou
job_110,E-commerce setup in Constantine,Digital Services professional wanted for E-commerce setup in Constantine. Short-term project with possibility for extension.,Digital Services,Constantine
job_111,Graphic design in Mostaganem,Digital Services professional wanted for Graphic design in Mostaganem. Recurring project with possibility for extension.,Digital Services,Mostaganem
job_112,Traditional dress sewing in Illizi,Seeking skilled individual for Traditional dress sewing services in Illizi. Must have own tools and transportation. Urgent need required.,Handcrafts,Illizi
