user_id,job_id,rating_explicite,commentaire_texte_anglais
user_322,job_486,2.0,
user_987,job_403,,
user_805,job_221,5.0,Excellent communication and service. Best transportation professional in Médéa.
user_155,job_258,3.0,Decent work but took longer than expected for E-commerce setup completion.
user_210,job_166,4.0,Exceptional skills in digital services. The job was completed ahead of schedule.
user_379,job_208,4.0,The quality of work was outstanding. I'll definitely hire again for Traditional music performance.
user_810,job_440,,
user_798,job_24,4.0,
user_378,job_245,,
user_730,job_260,5.0,Great work in Oran! Would recommend to others looking for home services services.
user_408,job_345,3.0,
user_621,job_442,2.0,Reasonable quality work. Some aspects of the Fruit picking could be better.
user_948,job_45,5.0,
user_556,job_32,,
user_778,job_9,4.0,Excellent service for Traditional carpet making. Very professional and punctual.
user_856,job_364,4.0,
user_703,job_116,3.0,
user_428,job_44,,
user_605,job_264,4.0,Very satisfied with the Car mechanics service. Fast and efficient.
user_794,job_331,4.0,Great work in Ouled Djellal! Would recommend to others looking for beauty & wellness services.
user_286,job_468,2.0,Average work for digital services. Could improve on timeliness.
user_948,job_391,,
user_25,job_247,5.0,Excellent service for Traditional music performance. Very professional and punctual.
user_534,job_61,3.0,Service was as expected. Neither impressive nor disappointing.
user_879,job_39,4.0,
user_358,job_485,,
user_451,job_94,,
user_568,job_298,3.0,
user_525,job_257,2.0,Acceptable service in Alger. Some minor issues but overall okay.
user_148,job_383,,
user_312,job_52,4.0,
user_269,job_24,,
user_303,job_39,3.0,
user_333,job_52,4.0,
user_386,job_247,5.0,
user_930,job_119,1.0,
user_154,job_15,,
user_285,job_434,5.0,Excellent service for Pottery services. Very professional and punctual.
user_663,job_357,,
user_472,job_425,4.0,
user_152,job_145,,
user_315,job_495,,
user_727,job_325,5.0,Excellent service for Science tutoring. Very professional and punctual.
user_469,job_435,,
user_326,job_338,2.0,The Intercity transport service was adequate. Nothing exceptional but got the job done.
user_925,job_278,2.0,
user_894,job_435,4.0,
user_610,job_233,5.0,
user_644,job_416,,
user_939,job_480,4.0,
user_798,job_172,,
user_57,job_42,5.0,Exceptional skills in food & cuisine. The job was completed ahead of schedule.
user_837,job_298,3.0,Average work for transportation. Could improve on timeliness.
user_863,job_123,2.0,Completed the job as required. Standard transportation service.
user_20,job_66,5.0,Exceptional skills in food & cuisine. The job was completed ahead of schedule.
user_490,job_348,1.0,Unprofessional approach to the Leather crafting job. Wouldn't hire again.
user_24,job_249,3.0,Completed the job as required. Standard home services service.
user_563,job_236,5.0,Excellent communication and service. Best maintenance & repairs professional in Relizane.
user_378,job_335,,
user_956,job_385,,
user_37,job_53,2.0,
user_198,job_316,5.0,Exceptional skills in digital services. The job was completed ahead of schedule.
user_565,job_482,3.0,Reasonable quality work. Some aspects of the Homemade couscous could be better.
user_875,job_305,4.0,
user_960,job_180,,
user_301,job_82,5.0,
user_436,job_446,5.0,Excellent communication and service. Best maintenance & repairs professional in Naâma.
user_113,job_123,2.0,
user_545,job_285,5.0,
user_496,job_273,4.0,Professional and courteous. Completed the DJ services work perfectly.
user_382,job_363,4.0,
user_703,job_351,,
user_62,job_27,,
user_633,job_432,4.0,Professional and courteous. Completed the Car mechanics work perfectly.
user_2,job_237,5.0,Professional and courteous. Completed the Housekeeping work perfectly.
user_26,job_52,,
user_933,job_323,5.0,Very pleased with the results. Expert in Electrical installations with fair pricing.
user_775,job_367,,
user_565,job_96,,
user_891,job_475,5.0,
user_461,job_492,,
user_588,job_143,4.0,Very satisfied with the Electronics repair service. Fast and efficient.
user_367,job_69,4.0,Very pleased with the results. Expert in Moving assistance with fair pricing.
user_42,job_387,5.0,Very satisfied with the Irrigation system installation service. Fast and efficient.
user_926,job_346,5.0,
user_554,job_255,5.0,
user_261,job_247,5.0,
user_77,job_183,4.0,
user_557,job_247,5.0,Very pleased with the results. Expert in Traditional music performance with fair pricing.
user_183,job_63,1.0,Unprofessional approach to the Fruit picking job. Wouldn't hire again.
user_538,job_351,5.0,Professional and courteous. Completed the Massage therapy work perfectly.
user_718,job_309,5.0,Excellent service for Event photography. Very professional and punctual.
user_771,job_495,,
user_986,job_455,5.0,Excellent service for Garden maintenance. Very professional and punctual.
user_944,job_55,,
user_55,job_157,2.0,Completed the job as required. Standard beauty & wellness service.
user_714,job_403,3.0,Fair price for the quality. Average teaching & education service provider in Tizi Ouzou.
user_911,job_116,3.0,
user_532,job_119,4.0,The quality of work was outstanding. I'll definitely hire again for Airport pickup.
user_65,job_362,1.0,
user_321,job_178,,
user_599,job_129,4.0,Very pleased with the results. Expert in Traditional music performance with fair pricing.
user_781,job_399,5.0,
user_591,job_0,5.0,Excellent communication and service. Best maintenance & repairs professional in Ghardaïa.
user_82,job_114,5.0,
user_226,job_427,,
user_285,job_261,,
user_42,job_416,3.0,Fair price for the quality. Average digital services service provider in Illizi.
user_77,job_115,,
user_108,job_472,,
